"treeid","common_name","age_class","canopy_radius","condition_class","desirability","height_class","overhead_lines","planting_type","root_infringement","stems","gtw_priority","estimated_value","tree_notes","est_pruning_hours","crew","date_inventoried","last_updated","other_species","i_tree_code","genus_species","genus","species","latitude","location_type","location_value","longitude","dedicated","dedication_year","dbh_1","dbh_2","dbh_3","dbh_4","dbh_5","dbh_height","adv_ass_root","adv_ass_stem","vtsa","isa_consequences","isa_failure","isa_fail_impact","isa_impact","isa_risk_rating","plant_part_concern","primary_target","secondary_target","date_rec","rcx","soils_1","soils_2","date_rec_1","prune","pruning_category","pruning_goal_1","pruning_goal_2","pruning_goal_other","pruning_system","date_rec_2","removal","date_rec_3","cable","cable_info","cable_size","date_rec_4","brace_rod","brace_rod_info","date_rec_5","date_rec_6","guy","guy_info","date_rec_7","date_rec_8","pest_disease_type_1","pest_disease_type_2","pest_disease_type_3","pest_disease_type_4","pest_disease_type_5","pest_disease_type_6","defect_other","defect_type_1","defect_type_2","defect_type_3","defect_type_4","defect_type_5","defect_type_6","addr_1","street_num","street_name","city","post_code","state","crn_light_exposure","total_height","tree_site","file_extension","filename","image_type"
1,"Maple-Red","Young",,"Good",0.7,,"No",1,"51-75%",1,,230.79,"",0,"STD","3/5/18","3/5/18","","ACRU","Acer rubrum","Acer","rubrum",40.53411388,"Street tree","Fair",-80.17600885,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","910 Thorn St","910","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
2,"Maple-Red","Young",,"Poor",,,"No",1,"51-75%",1,"1",98.91,"",0,"STD","3/5/18","3/6/18","","ACRU","Acer rubrum","Acer","rubrum",40.53416785,"Street tree","Fair",-80.17608994,,1,4,0,0,0,0,6,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce risk of branch stem and/or root failure","","Clean:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","Dieback (moderate)","","","","","910 Thorn St","910","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
3,"Maple-Red","Semi-mature",,"Good",0.7,,"No",1,"51-75%",1,"2",923.16,"",0,"STD","3/5/18","3/5/18","","ACRU","Acer rubrum","Acer","rubrum",40.53422327,"Street tree","Fair",-80.17617721,,1,8,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Co-dominant stems","","","","","","906 Thorn St","906","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
4,"Maple-Red","Semi-mature",,"Good",0.7,,"No",1,"51-75%",1,"2",706.79,"",0,"STD","3/5/18","3/5/18","","ACRU","Acer rubrum","Acer","rubrum",40.53427788,"Street tree","Fair",-80.17624536,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Co-dominant stems","","","","","","900 Thorn St","900","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
5,"Maple-Norway","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,,555.34,"",0,"STD","3/5/18","3/6/18","","ACPL","Acer platanoides","Acer","platanoides",40.53437709,"Street tree","Fair",-80.17639304,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","894 Thorn St","894","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
6,"Hawthorn","Young",,"Poor",0.58,,"No",1,"51-75%",1,,20.49,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.5344365,"Street tree","Fair",-80.1764743,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-root flare","","","","","","894 Thorn St","894","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
7,"Hawthorn","Young",,"Good",0.58,,"No",1,"51-75%",1,,47.81,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.53448343,"Street tree","Fair",-80.17653244,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","888 Thorn St","888","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
8,"Elm-American","Mature",,"Good",0.53,,"Within 10 ft",1,"51-75%",1,"1",11618.12,"",0,"STD","3/5/18","3/5/18","","ULAM","Ulmus americana","Ulmus","americana",40.53451219,"Street tree","Fair",-80.17658028,,1,33,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce risk of branch stem and/or root failure","","Clean:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Pavement/curbing damage","Overextended branch","","","","","888 Thorn St","888","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
9,"Maple-Norway","Semi-mature",,"Poor",0.55,,"No",1,"51-75%",1,"1",238,"",0,"STD","3/5/18","3/16/18","","ACPL","Acer platanoides","Acer","platanoides",40.53461838,"Street tree","Fair",-80.17671967,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","Remove","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","Dieback (severe)","","","","","884 Thorn St","884","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
10,"Maple-Norway","Semi-mature",,"Poor",0.75,,"No",1,"51-75%",1,"1",121.43,"",0,"STD","3/5/18","3/6/18","","ACPL","Acer platanoides","Acer","platanoides",40.5346839,"Street tree","Fair",-80.17681405,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","Remove","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-root flare","","","","","","884 Thorn St","884","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
